,Unnamed: 0,year,team,rank_regular,rank_playoffs,team_normalized
539,539,2004,Orlando Magic,29,-1,orlando magic
540,540,2005,Phoenix Suns,1,2,phoenix suns
541,541,2005,Miami Heat,2,2,miami heat
542,542,2005,San Antonio Spurs,3,4,san antonio spurs
543,543,2005,Dallas Mavericks,4,1,dallas mavericks
544,544,2005,Detroit Pistons,5,3,detroit pistons
545,545,2005,Seattle SuperSonics,6,1,oklahoma city thunder
546,546,2005,Houston Rockets,7,0,houston rockets
547,547,2005,Sacramento Kings,8,0,sacramento kings
548,548,2005,Denver Nuggets,9,0,denver nuggets
549,549,2005,Chicago Bulls,10,0,chicago bulls
550,550,2005,Boston Celtics,11,0,boston celtics
551,551,2005,Memphis Grizzlies,12,0,memphis grizzlies
552,552,2005,Washington Wizards,13,1,washington wizards
553,553,2005,Indiana Pacers,14,1,indiana pacers
554,554,2005,Minnesota Timberwolves,15,-1,minnesota timberwolves
555,555,2005,Philadelphia 76ers,16,0,philadelphia 76ers
556,556,2005,New Jersey Nets,17,0,brooklyn nets
557,557,2005,Cleveland Cavaliers,18,-1,cleveland cavaliers
558,558,2005,Los Angeles Clippers,19,-1,los angeles clippers
559,559,2005,Orlando Magic,20,-1,orlando magic
560,560,2005,Golden State Warriors,21,-1,golden state warriors
561,561,2005,Los Angeles Lakers,22,-1,los angeles lakers
562,562,2005,New York Knicks,23,-1,new york knicks
563,563,2005,Toronto Raptors,24,-1,toronto raptors
564,564,2005,Milwaukee Bucks,25,-1,milwaukee bucks
565,565,2005,Portland Trail Blazers,26,-1,portland trail blazers
566,566,2005,Utah Jazz,27,-1,utah jazz
567,567,2005,Charlotte Bobcats,28,-1,charlotte hornets
568,568,2005,New Orleans Hornets,29,-1,new orleans pelicans
569,569,2005,Atlanta Hawks,30,-1,atlanta hawks
570,570,2006,Detroit Pistons,1,2,detroit pistons
571,571,2006,San Antonio Spurs,2,1,san antonio spurs
572,572,2006,Dallas Mavericks,3,3,dallas mavericks
573,573,2006,Phoenix Suns,4,2,phoenix suns
574,574,2006,Miami Heat,5,4,miami heat
575,575,2006,Cleveland Cavaliers,6,1,cleveland cavaliers
576,576,2006,Memphis Grizzlies,7,0,memphis grizzlies
577,577,2006,New Jersey Nets,8,1,brooklyn nets
578,578,2006,Los Angeles Clippers,9,1,los angeles clippers
579,579,2006,Los Angeles Lakers,10,0,los angeles lakers
580,580,2006,Denver Nuggets,11,0,denver nuggets
581,581,2006,Sacramento Kings,12,0,sacramento kings
582,582,2006,Washington Wizards,13,0,washington wizards
583,583,2006,Chicago Bulls,14,0,chicago bulls
584,584,2006,Indiana Pacers,15,0,indiana pacers
585,585,2006,Utah Jazz,16,-1,utah jazz
586,586,2006,Milwaukee Bucks,17,0,milwaukee bucks
587,587,2006,New OrleansOklahoma City Hornets,18,-1,new orleans pelicans
588,588,2006,Philadelphia 76ers,19,-1,philadelphia 76ers
589,589,2006,Orlando Magic,20,-1,orlando magic
590,590,2006,Seattle SuperSonics,21,-1,oklahoma city thunder
591,591,2006,Golden State Warriors,22,-1,golden state warriors
592,592,2006,Houston Rockets,23,-1,houston rockets
593,593,2006,Boston Celtics,24,-1,boston celtics
594,594,2006,Minnesota Timberwolves,25,-1,minnesota timberwolves
595,595,2006,Toronto Raptors,26,-1,toronto raptors
596,596,2006,Atlanta Hawks,27,-1,atlanta hawks
597,597,2006,Charlotte Bobcats,28,-1,charlotte hornets
598,598,2006,New York Knicks,29,-1,new york knicks
599,599,2006,Portland Trail Blazers,30,-1,portland trail blazers
600,600,2007,Dallas Mavericks,1,0,dallas mavericks
601,601,2007,Phoenix Suns,2,1,phoenix suns
602,602,2007,San Antonio Spurs,3,4,san antonio spurs
603,603,2007,Detroit Pistons,4,2,detroit pistons
604,604,2007,Houston Rockets,5,0,houston rockets
605,605,2007,Utah Jazz,6,2,utah jazz
606,606,2007,Cleveland Cavaliers,7,3,cleveland cavaliers
607,607,2007,Chicago Bulls,8,1,chicago bulls
608,608,2007,Toronto Raptors,9,0,toronto raptors
609,609,2007,Denver Nuggets,10,0,denver nuggets
610,610,2007,Miami Heat,11,0,miami heat
611,611,2007,Golden State Warriors,12,1,golden state warriors
612,612,2007,Los Angeles Lakers,13,0,los angeles lakers
613,613,2007,New Jersey Nets,14,1,brooklyn nets
614,614,2007,Washington Wizards,15,0,washington wizards
615,615,2007,Orlando Magic,16,0,orlando magic
616,616,2007,Los Angeles Clippers,17,-1,los angeles clippers
617,617,2007,New OrleansOklahoma City Hornets,18,-1,new orleans pelicans
618,618,2007,Indiana Pacers,19,-1,indiana pacers
619,619,2007,Philadelphia 76ers,20,-1,philadelphia 76ers
620,620,2007,Charlotte Bobcats,21,-1,charlotte hornets
621,621,2007,New York Knicks,22,-1,new york knicks
622,622,2007,Sacramento Kings,23,-1,sacramento kings
623,623,2007,Minnesota Timberwolves,24,-1,minnesota timberwolves
624,624,2007,Portland Trail Blazers,25,-1,portland trail blazers
625,625,2007,Seattle SuperSonics,26,-1,oklahoma city thunder
626,626,2007,Atlanta Hawks,27,-1,atlanta hawks
627,627,2007,Milwaukee Bucks,28,-1,milwaukee bucks
628,628,2007,Boston Celtics,29,-1,boston celtics
629,629,2007,Memphis Grizzlies,30,-1,memphis grizzlies
630,630,2008,Boston Celtics,1,4,boston celtics
631,631,2008,Detroit Pistons,2,2,detroit pistons
632,632,2008,Los Angeles Lakers,3,3,los angeles lakers
633,633,2008,New Orleans Hornets,4,1,new orleans pelicans
634,634,2008,San Antonio Spurs,5,2,san antonio spurs
635,635,2008,Houston Rockets,6,0,houston rockets
636,636,2008,Phoenix Suns,7,0,phoenix suns
637,637,2008,Utah Jazz,8,1,utah jazz
638,638,2008,Orlando Magic,9,1,orlando magic
639,639,2008,Dallas Mavericks,10,0,dallas mavericks
640,640,2008,Denver Nuggets,11,0,denver nuggets
641,641,2008,Golden State Warriors,12,-1,golden state warriors
642,642,2008,Cleveland Cavaliers,13,1,cleveland cavaliers
643,643,2008,Washington Wizards,14,0,washington wizards
644,644,2008,Toronto Raptors,15,0,toronto raptors
645,645,2008,Portland Trail Blazers,16,-1,portland trail blazers
646,646,2008,Philadelphia 76ers,17,0,philadelphia 76ers
647,647,2008,Sacramento Kings,18,-1,sacramento kings
648,648,2008,Atlanta Hawks,19,0,atlanta hawks
649,649,2008,Indiana Pacers,20,-1,indiana pacers
650,650,2008,New Jersey Nets,21,-1,brooklyn nets
651,651,2008,Chicago Bulls,22,-1,chicago bulls
652,652,2008,Charlotte Bobcats,23,-1,charlotte hornets
653,653,2008,Milwaukee Bucks,24,-1,milwaukee bucks
654,654,2008,Los Angeles Clippers,25,-1,los angeles clippers
655,655,2008,New York Knicks,26,-1,new york knicks
656,656,2008,Memphis Grizzlies,27,-1,memphis grizzlies
657,657,2008,Minnesota Timberwolves,28,-1,minnesota timberwolves
658,658,2008,Seattle SuperSonics,29,-1,oklahoma city thunder
659,659,2008,Miami Heat,30,-1,miami heat
660,660,2009,Cleveland Cavaliers,1,2,cleveland cavaliers
661,661,2009,Los Angeles Lakers,2,4,los angeles lakers
662,662,2009,Boston Celtics,3,1,boston celtics
663,663,2009,Orlando Magic,4,3,orlando magic
664,664,2009,Denver Nuggets,5,2,denver nuggets
665,665,2009,Portland Trail Blazers,6,0,portland trail blazers
666,666,2009,San Antonio Spurs,7,0,san antonio spurs
667,667,2009,Houston Rockets,8,1,houston rockets
668,668,2009,Dallas Mavericks,9,1,dallas mavericks
669,669,2009,New Orleans Hornets,10,0,new orleans pelicans
670,670,2009,Utah Jazz,11,0,utah jazz
671,671,2009,Atlanta Hawks,12,1,atlanta hawks
672,672,2009,Phoenix Suns,13,-1,phoenix suns
673,673,2009,Miami Heat,14,0,miami heat
674,674,2009,Chicago Bulls,15,0,chicago bulls
675,675,2009,Philadelphia 76ers,16,0,philadelphia 76ers
676,676,2009,Detroit Pistons,17,0,detroit pistons
677,677,2009,Indiana Pacers,18,-1,indiana pacers
678,678,2009,Charlotte Bobcats,19,-1,charlotte hornets
679,679,2009,Milwaukee Bucks,20,-1,milwaukee bucks
680,680,2009,New Jersey Nets,21,-1,brooklyn nets
681,681,2009,Toronto Raptors,22,-1,toronto raptors
682,682,2009,New York Knicks,23,-1,new york knicks
683,683,2009,Golden State Warriors,24,-1,golden state warriors
684,684,2009,Memphis Grizzlies,25,-1,memphis grizzlies
685,685,2009,Minnesota Timberwolves,26,-1,minnesota timberwolves
686,686,2009,Oklahoma City Thunder,27,-1,oklahoma city thunder
687,687,2009,Los Angeles Clippers,28,-1,los angeles clippers
688,688,2009,Washington Wizards,29,-1,washington wizards
689,689,2009,Sacramento Kings,30,-1,sacramento kings
690,690,2010,Cleveland Cavaliers,1,1,cleveland cavaliers
691,691,2010,Orlando Magic,2,2,orlando magic
692,692,2010,Los Angeles Lakers,3,4,los angeles lakers
693,693,2010,Dallas Mavericks,4,0,dallas mavericks
694,694,2010,Phoenix Suns,5,2,phoenix suns
695,695,2010,Atlanta Hawks,6,1,atlanta hawks
696,696,2010,Denver Nuggets,7,0,denver nuggets
697,697,2010,Utah Jazz,8,1,utah jazz
698,698,2010,Boston Celtics,9,3,boston celtics
699,699,2010,Oklahoma City Thunder,10,0,oklahoma city thunder
700,700,2010,Portland Trail Blazers,11,0,portland trail blazers
701,701,2010,San Antonio Spurs,12,1,san antonio spurs
702,702,2010,Miami Heat,13,0,miami heat
703,703,2010,Milwaukee Bucks,14,0,milwaukee bucks
704,704,2010,Charlotte Bobcats,15,0,charlotte hornets
705,705,2010,Houston Rockets,16,-1,houston rockets
706,706,2010,Chicago Bulls,17,0,chicago bulls
707,707,2010,Memphis Grizzlies,18,-1,memphis grizzlies
708,708,2010,Toronto Raptors,19,-1,toronto raptors
709,709,2010,New Orleans Hornets,20,-1,new orleans pelicans
710,710,2010,Indiana Pacers,21,-1,indiana pacers
711,711,2010,Los Angeles Clippers,22,-1,los angeles clippers
712,712,2010,New York Knicks,23,-1,new york knicks
713,713,2010,Detroit Pistons,24,-1,detroit pistons
714,714,2010,Philadelphia 76ers,25,-1,philadelphia 76ers
715,715,2010,Golden State Warriors,26,-1,golden state warriors
716,716,2010,Washington Wizards,27,-1,washington wizards
